V1	V2	V3
CAGL0B02211g	ORF|Verified	NULL
CAGL0B02233g	ORF|Uncharacterized	NULL
CAGL0B02255g	ORF|Uncharacterized	NULL
CAGL0B02277g	ORF|Uncharacterized	NULL
CAGL0B02299g	ORF|Uncharacterized	NULL
CAGL0B02321g	ORF|Uncharacterized	NULL
CAGL0B02343g	ORF|Uncharacterized	NULL
CAGL0B02365g	ORF|Uncharacterized	NULL
CAGL0B02387g	ORF|Uncharacterized	NULL
CAGL0B02409g	ORF|Uncharacterized	NULL
CAGL0B02431g	ORF|Uncharacterized	NULL
CAGL0B02453g	ORF|Uncharacterized	NULL
CAGL0B02475g	ORF|Uncharacterized	NULL
CAGL0B02497g	ORF|Uncharacterized	NULL
CAGL0B02519g	ORF|Uncharacterized	NULL
CAGL0B02541g	ORF|Uncharacterized	NULL
CAGL0B02563g	ORF|Uncharacterized	NULL
CAGL0B02585g	ORF|Uncharacterized	NULL
CAGL0B02607g	ORF|Uncharacterized	NULL
CAGL0B02629g	ORF|Uncharacterized	NULL
CAGL0B02651g	ORF|Uncharacterized	NULL
CAGL0B02673g	ORF|Uncharacterized	NULL
CAGL0B02695g	ORF|Uncharacterized	NULL
CAGL0B02717g	ORF|Uncharacterized	NULL
CAGL0B02739g	ORF|Verified	NULL
CAGL0B02755g	ORF|Uncharacterized	NULL
CAGL0B02761g	ORF|Uncharacterized	NULL
CAGL0B02772g	ORF|Uncharacterized	NULL
CAGL0B02794g	ORF|Uncharacterized	NULL
CAGL0B02816g	ORF|Uncharacterized	NULL
CAGL0B02838g	ORF|Uncharacterized	NULL
CAGL0B02860g	ORF|Uncharacterized	NULL
CAGL0B02882g	ORF|Uncharacterized	NULL
CAGL0B02904g	ORF|Uncharacterized	NULL
CAGL0B02926g	ORF|Uncharacterized	NULL
CAGL0B02948g	ORF|Uncharacterized	NULL
CAGL0B02970g	ORF|Uncharacterized	NULL
CAGL0B02981g	ORF|Merged/Split|Uncharacterized	NULL
CAGL0B03014g	ORF|Merged/Split|Uncharacterized	NULL
CAGL0B03047g	ORF|Uncharacterized	NULL
CAGL0B03069g	ORF|Verified	NULL
CAGL0B03091g	ORF|Uncharacterized	NULL
CAGL0B03113g	ORF|Uncharacterized	NULL
CAGL0B03135r	tRNA|Uncharacterized	NULL
CAGL0B03179g	ORF|Uncharacterized	NULL
CAGL0B03201g	ORF|Uncharacterized	NULL
CAGL0B03223g	ORF|Uncharacterized	NULL
CAGL0B03245g	ORF|Uncharacterized	NULL
CAGL0B03267g	ORF|Uncharacterized	NULL
CAGL0B03289g	ORF|Uncharacterized	NULL
CAGL0B03311g	ORF|Uncharacterized	NULL
CAGL0B03333g	ORF|Uncharacterized	NULL
CAGL0B03355g	ORF|Uncharacterized	NULL
CAGL0B03377g	ORF|Uncharacterized	NULL
CAGL0B03399g	ORF|Verified	NULL
CAGL0B03421g	ORF|Uncharacterized	NULL
CAGL0B03443g	ORF|Uncharacterized	NULL
CAGL0B03465g	ORF|Uncharacterized	NULL
CAGL0B03487g	ORF|Uncharacterized	NULL
CAGL0B03509g	ORF|Uncharacterized	NULL
CAGL0B03520r	ncRNA|Uncharacterized	NULL
CAGL0B03531g	ORF|Uncharacterized	NULL
CAGL0B03553g	ORF|Uncharacterized	NULL
CAGL0B03575g	ORF|Uncharacterized	NULL
CAGL0B03597g	ORF|Uncharacterized	NULL
CAGL0B03608g	ORF|Uncharacterized	NULL
CAGL0B03619g	ORF|Uncharacterized	NULL
CAGL0B03641g	ORF|Uncharacterized	NULL
CAGL0B03663g	ORF|Uncharacterized	NULL
CAGL0B03685g	ORF|Verified	NULL
CAGL0B03707g	ORF|Uncharacterized	NULL
CAGL0B03729r	tRNA|Uncharacterized	NULL
CAGL0B03773g	ORF|Uncharacterized	NULL
CAGL0B03795g	ORF|Uncharacterized	NULL
CAGL0B03817g	ORF|Uncharacterized	NULL
CAGL0B03839g	ORF|Uncharacterized	NULL
CAGL0B03855g	ORF|Uncharacterized	NULL
CAGL0B03861g	ORF|Uncharacterized	NULL
CAGL0B03883g	ORF|Uncharacterized	NULL
CAGL0B03899g	ORF|Uncharacterized	NULL
CAGL0B03905g	ORF|Uncharacterized	NULL
